subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103638,I,0.162,3.683,1,85117,DE-N-N-12-T-U,76,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103664,I,0.282,6.328,1,85143,NM-Ex-O-2-T-D,77,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103631,I,0.97,6.142,1,85110,DE-N-N-1-T-D,78,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103739,I,0.95,14.967,1,85218,UE-M-P-9-T-U,79,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103678,I,0.272,4.18,1,85157,DE-F-O-4-T-U,80,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103666,I,0.384,6.171,1,85145,NM-Ex-O-4-T-D,81,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103709,I,0.24,3.556,1,85188,NM-On-O-7-T-U,82,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103655,I,0.104,4.711,1,85134,UE-E-O-5-T-D,83,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103660,I,0.974,6.354,1,85139,UE-E-O-2-T-U,84,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103716,I,0.994,6.96,1,85195,UE-P-O-2-T-U,85,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103616,I,0.432,4.4,1,85095,NM-Ex-N-10-T-D,86,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103697,I,0.966,3.384,1,85176,DE-No-O-7-T-D,87,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103679,I,0.264,2.555,1,85158,UE-M-O-5-T-D,88,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103695,I,0.984,5.118,1,85174,DE-No-O-5-T-D,89,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103690,I,0.942,5.901,1,85169,DE-N-O-4-T-D,90,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103700,I,0.246,3.625,1,85179,DE-No-O-2-T-U,91,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103755,I,0.958,6.14,1,85234,UE-P-P-9-T-U,92,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103624,I,0.768,6.35,1,85103,DE-F-N-10-T-D,93,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103742,I,0.93,3.158,1,85221,UE-M-P-8-T-U,94,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103645,I,0.152,2.984,1,85124,DE-No-N-3-T-U,95,6606,target,2
